,Широта будинку,Довгота будинку
779,50.486269,30.4719073
780,50.4599247,30.5147593
781,50.4596602,30.5156731
782,50.4596354,30.5162974
783,50.459038,30.51667
784,50.4640536,30.5240275
785,50.463862,30.524104
786,50.463537,30.524407
787,50.4643924,30.523549
788,50.4703746,30.5194934
789,50.4616929,30.509263
790,50.4613489,30.5094723
791,50.4611684,30.509576
792,50.461069,30.509279
793,50.4609577,30.5095733
794,50.4608609,30.5099528
795,50.460881,30.509809
796,50.46065,30.5108669
797,50.4607925,30.5101445
798,50.4599663,30.5108459
799,50.4599911,30.5114527
800,50.4599663,30.5108459
801,50.4598341,30.5122262
802,50.4598919,30.5116416
803,50.4596772,30.5114607
804,50.459668,30.511405
805,50.4598784,30.5118583
806,50.4597432,30.5118478
807,50.4596028,30.5121025
808,50.4594045,30.5124801
809,50.4592368,30.5130386
810,50.4590079,30.5138509
811,50.4594392,30.5149474
812,50.4674664,30.5196963
813,50.4676896,30.5190022
814,50.4681855,30.5175961
815,50.4683178,30.5172929
816,50.4685858,30.5174107
817,50.469394,30.515515
818,50.4692324,30.5164832
819,50.4659215,30.5197272
820,50.466062,30.520212
821,50.4666398,30.521937
822,50.4662599,30.5206525
823,50.4662599,30.5206525
824,50.4673092,30.5210857
825,50.4593033,30.5103676
826,50.4590412,30.5103509
827,50.4596516,30.5104288
828,50.4597758,30.510969
829,50.4586763,30.5104582
830,50.4597758,30.510969
831,50.4581896,30.5104905
832,50.4819033,30.5332198
833,50.4795922,30.5337999
834,50.4646571,30.5220193
835,50.465565,30.523589
836,50.465738,30.523823
837,50.4656823,30.5169383
838,50.4656823,30.5169383
839,50.465847,30.51617
840,50.465847,30.51617
841,50.4603606,30.525481
842,50.4611867,30.5253954
843,50.4620142,30.5254754
844,50.4620142,30.5254754
845,50.4625155,30.5254348
846,50.4643178,30.5248067
847,50.4699444,30.5225182
848,50.4704048,30.5219596
849,50.4704048,30.5219596
850,50.467442,30.5219551
851,50.4685815,30.520843
852,50.4688459,30.5208524
853,50.4686313,30.5200558
854,50.4691309,30.5193845
855,50.4702428,30.5174873
856,50.4713996,30.5162589
857,50.4664833,30.5182606
858,50.4663512,30.5191656
859,50.4664737,30.5186651
860,50.4667396,30.5185158
861,50.4682015,30.5207716
862,50.4675571,30.5205367
863,50.4682677,30.5202353
864,50.467929,30.5202518
865,50.4678297,30.5209025
866,50.4682328,30.5210955
867,50.4681687,30.5195005
868,50.4680651,30.5178959
869,50.4686231,30.5193917
