,Широта школи,Довгота школи
585,50.4611218,30.5197753
586,50.4611218,30.5197753
587,50.4611218,30.5197753
588,50.4611218,30.5197753
589,50.4611218,30.5197753
590,50.4611218,30.5197753
591,50.4729038,30.5130608
592,50.4729038,30.5130608
593,50.4729038,30.5130608
594,50.4729038,30.5130608
595,50.4729038,30.5130608
596,50.4729038,30.5130608
597,50.4729038,30.5130608
598,50.4729038,30.5130608
599,50.4729038,30.5130608
600,50.4729038,30.5130608
601,50.4729038,30.5130608
602,50.4729038,30.5130608
603,50.4729038,30.5130608
604,50.4729038,30.5130608
605,50.4729038,30.5130608
606,50.4729038,30.5130608
607,50.4729038,30.5130608
608,50.4729038,30.5130608
609,50.4729038,30.5130608
610,50.4729038,30.5130608
611,50.4729038,30.5130608
612,50.4729038,30.5130608
613,50.4729038,30.5130608
614,50.4729038,30.5130608
615,50.4729038,30.5130608
616,50.4729038,30.5130608
617,50.4729038,30.5130608
618,50.4729038,30.5130608
619,50.4729038,30.5130608
620,50.4729038,30.5130608
621,50.4729038,30.5130608
622,50.4729038,30.5130608
623,50.4729038,30.5130608
624,50.4729038,30.5130608
625,50.4729038,30.5130608
626,50.4729038,30.5130608
627,50.4729038,30.5130608
628,50.4729038,30.5130608
629,50.4729038,30.5130608
630,50.4729038,30.5130608
631,50.4729038,30.5130608
632,50.4729038,30.5130608
633,50.4729038,30.5130608
634,50.4729038,30.5130608
635,50.4729038,30.5130608
636,50.4729038,30.5130608
637,50.4729038,30.5130608
638,50.4729038,30.5130608
639,50.4729038,30.5130608
640,50.4729038,30.5130608
641,50.4729038,30.5130608
642,50.4729038,30.5130608
643,50.4729038,30.5130608
644,50.4729038,30.5130608
645,50.4729038,30.5130608
646,50.4729038,30.5130608
647,50.4729038,30.5130608
648,50.4729038,30.5130608
649,50.4729038,30.5130608
650,50.4729038,30.5130608
651,50.4729038,30.5130608
652,50.4729038,30.5130608
653,50.4729038,30.5130608
654,50.4729038,30.5130608
655,50.4729038,30.5130608
656,50.4729038,30.5130608
657,50.4729038,30.5130608
658,50.4729038,30.5130608
659,50.4729038,30.5130608
660,50.4729038,30.5130608
661,50.4729038,30.5130608
662,50.4801558,30.4788913
663,50.4801558,30.4788913
664,50.4801558,30.4788913
665,50.4801558,30.4788913
666,50.4801558,30.4788913
667,50.4801558,30.4788913
668,50.4801558,30.4788913
669,50.4801558,30.4788913
670,50.4801558,30.4788913
671,50.4801558,30.4788913
672,50.4801558,30.4788913
673,50.4801558,30.4788913
674,50.4801558,30.4788913
675,50.4801558,30.4788913
676,50.4801558,30.4788913
677,50.4801558,30.4788913
678,50.4801558,30.4788913
679,50.4801558,30.4788913
