,"Відстань до школи, км",Менше за 0.8км,geometry
251,0.2821495040955761,True,POINT (30.510669 50.46555679999999)
252,0.3145058143279147,True,POINT (30.5113778 50.4659311)
253,0.3145058143279147,True,POINT (30.5113778 50.4659311)
254,0.29274406164477074,True,POINT (30.5113106 50.46622)
255,0.3162245508548115,True,POINT (30.511685 50.46651)
256,0.29274406164477074,True,POINT (30.5113106 50.46622)
257,0.4884464285120339,True,POINT (30.5048846 50.4693501)
258,0.43274985729917703,True,POINT (30.5053766 50.4692275)
259,0.38487089498090565,True,POINT (30.5059239 50.469495)
260,0.4598897707700164,True,POINT (30.5053431 50.469905)
261,0.40731418778181444,True,POINT (30.50589310000001 50.4699463)
262,0.2795702450323703,True,POINT (30.5077148 50.4703098)
263,0.3923519320266113,True,POINT (30.5066806 50.47086029999999)
264,0.12608450564346096,True,POINT (30.509807 50.466844)
265,0.23708166573460263,True,POINT (30.5069884 50.4682939)
266,0.2916137345896619,True,POINT (30.5064688 50.4680213)
267,0.2916137345896619,True,POINT (30.5064688 50.4680213)
268,0.3161020666747104,True,POINT (30.5063164 50.4685996)
269,0.3161020666747104,True,POINT (30.5063164 50.4685996)
270,0.42953017126875614,True,POINT (30.5053157 50.4688345)
271,0.3741326647665668,True,POINT (30.5058464 50.4689136)
272,0.5181409122876339,True,POINT (30.5045616 50.469156)
273,0.6849408572405344,True,POINT (30.5030012 50.46897970000001)
274,0.6849408572405344,True,POINT (30.5030012 50.46897970000001)
275,0.6598174850784676,True,POINT (30.50321 50.468826)
276,0.5667771816801923,True,POINT (30.5130643 50.4641545)
277,0.5805297057745967,True,POINT (30.5134561 50.4645355)
278,0.6120064697386797,True,POINT (30.5140606 50.46511270000001)
279,0.7684598637062149,True,POINT (30.5158558 50.4662071)
280,0.5060385806522051,True,POINT (30.51361 50.468502)
281,0.44385113103614543,True,POINT (30.512991 50.468857)
282,0.44385113103614543,True,POINT (30.512991 50.468857)
283,0.31042223029066746,True,POINT (30.5117318 50.4689163)
284,0.21007398917482342,True,POINT (30.5108289 50.4670048)
285,0.10952887167344985,True,POINT (30.509927 50.467261)
286,0.1831839109996101,True,POINT (30.510689 50.4674014)
287,0.37977080948573405,True,POINT (30.512507 50.467872)
288,0.37977080948573405,True,POINT (30.512507 50.467872)
289,0.33830677042269003,True,POINT (30.5121077 50.4683266)
290,0.517338228465599,True,POINT (30.513666 50.4688552)
291,0.5470043593023677,True,POINT (30.5139041 50.46905349999999)
292,0.4767049765188315,True,POINT (30.5131836 50.469351)
293,0.6717006920808105,True,POINT (30.5150561 50.46898729999999)
294,0.5309778547049219,True,POINT (30.5136848 50.46938400000001)
295,0.5996772461155088,True,POINT (30.5143255 50.4693801)
296,0.6592578813647848,True,POINT (30.5148118 50.4696813)
297,0.6177807469226383,True,POINT (30.5144019 50.469766)
298,0.6177807469226383,True,POINT (30.5144019 50.469766)
299,0.6924713476584698,True,POINT (30.514884 50.470525)
300,0.6966855357314845,True,POINT (30.5149195 50.47054050000001)
